 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
Pyrantel (tartrate),Anthelmintic,NA,,"acetylcholine receptor agonist, nicotinic receptor agonist",,,,,CN1CCCN=C1/C=C/c1cccs1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,356.4,0.3727,7,4,5,130.66,2,,,,,,,,,0.1796,,,,,,,,,0,-9.907019226,0,0,Inactive,0,-15.82883637,0,0,Inactive,Inactive,0,-92.44778293,0,0,Inactive,0,-3.029288205,0,0,Inactive,Inactive,0,3.597812835,,,,,,0,-17.98430674,,,,,,,0.4950617284,Oral,,,,,1.75 h,,None,Hypersensitivity; Intestinal obstruction; Hepatic disease,Category B2,Not much information is available,NA,,
Delavirdine (mesylate),Anti-HIV,RNA replication/synthesis,CYP3A4; HIV1,non-nucleoside reverse transcriptase inhibitor,,,7.4437,pIC50,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,552.679,2.2211,8,4,6,164.8,0,-1.61,,,,0.21,,,,,,83.7,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-8.024277089,,,,,,0,-13.59541524,,,,,,,0.4976879046,Oral,,98%,,,5.8 h,,Esomeprazole; Ritonavir; Mirtazapine,NA,Category B3,NA,NA,,
Eletriptan (hydrobromide),"Antimigraine, Vasoconstrictor,","Neuroactive ligand-receptor interaction, Seratonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2B, HTR7",serotonin receptor agonist,,,,Ki,Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,463.441,4.3989,3,1,6,53.17,1,0.96,,,,0.08,,,,,,3.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5018496888,Oral,,85%,138L,3.9L/h,4 h,0.5,Almotriptan; bromocriptine; cabergoline; chloramphenicol; cobicistat; dihydroergotamine; dihydroergotamine intranasal; ergoloid mesylates; ergotamine; frovatriptan; lopinavir; methylergonovine; mifepristone; naratriptan; rizatriptan; saquinavir; sumatriptan; sumatriptan intranasal; tipranavir; zolmitriptan,Hypersensitivity; Ischemic coronary artery disease,Category B1,Use with caution,NA,,
Cefuroxime (sodium),Antibacterial,Peptidoglycan biosynthesis,,bacterial cell wall synthesis inhibitor,,2.09E+03,,IC50,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1.[Na+],446.373,-4.8667,10,2,7,176.59,2,-2.78,,,,0.11,,,,0.2609,,-3.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5107464964,Oral,,50%,,,80mins,0.52,None,Hypersensitivity,Category B1,Use with caution,NA,,
Darifenacin (hydrobromide),Urinary antispasmodics,"Neuroactive ligand-receptor interaction, Cholinergic synapse","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",acetylcholine receptor antagonist,,,,Ki,Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,507.472,4.5354,3,1,7,55.56,1,-5.74,,,,0.01,,,,0.6317,,14.06,,,,,,,0,-7.468185967,0,0,Inactive,0,-4.063350921,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.9601806211,0,0,Inactive,Inactive,0,-0.6067976444,,,,,,0,-31.74358728,,,,,,,0.5299223763,Oral,,98%,163L,40L/h (Extensive metabolizers; 32L/h (poor metabolizers),13-19 h,15-19%,Eliglustat,Urinary retention; Uncontrolled narrow-angle glaucoma; Severe hepatic impairment; Paralytic ileus; GI or Gu obstruction; Hypersensitivity,Category B3,Use with caution,NA,,
Alogliptin (Benzoate),Antidiabetic,Protein digestion and absorption,DPP4,dipeptidyl peptidase inhibitor,,,8,pIC50,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1,461.522,1.77928,8,2,4,134.35,1,-0.02,,,,0.07,,,,,,16.4,,,,,,,0,2.234603,0,0,Inactive,0,-12.51693882,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,,,,,,,,,,,,,,,,0.5315895141,Oral,,20%,417L,9.6 h (Renal); 14.0L/h (Systemic),21 h,1,None,Hypersensitivity; Stevens-johnson syndrome,Category B3,Use with caution,NA,,
(S)-Rasagiline,Antiparkinsonian,"Seratonergic synapse, Dopaminergic synapse","BCL2, MAOB",monoamine oxidase inhibitor,,,8.3979,pIC50,C#CCN[C@H]1CCc2ccccc21,171.243,1.8967,1,1,2,12.03,1,,,,,0,,,,,,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55014236,Oral,,88-94%,87L,,3 h,0.36,Apraclonidine; atomoxetine; brimonidine; bupropion; cyproheptadine; desvenlafaxine; deutetrabenazine; dexmethylphenidate; dextroamphetamine; dextromethorphan; ephedrine; fentanyl; fentanyl intranasal; fentanyl transdermal; fentanyl transmucosal; isocarboxazid; levomilnacipran; lisdexamfetamine; meperidine; methadone; methamphetamine; methylphenidate; milnacipran; mirtazapine; ozanimod; phenelzine; phenylephrine PO; procarbazine; pseudoephedrine; safinamide; selegiline; solriamfetol; St John's Wort; tapentadol; tetrabenazine; tramadol; tranylcypromine; vilazodone; vortioxetine,NA,Category B3,Use with caution,NA,,
Erlotinib (Hydrochloride),Antineoplastic,"MAPK signaling pathway, ErbB signaling pathway","EGFR, NR1I2",EGFR inhibitor,,,10.5228,pIC50,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.904,3.8269,7,1,10,74.73,0,25.79,,,,-0.22,,,,,,-0.1805,,,,,,,15.84893192,-59.67210683,,,,0,0,,,,,,,,,,,,,,,,0,-11.22576462,,,,,,8.912509381,-99.7611631,,,,,,,0.5534565183,Oral,,93%,232L,,36.2 h,60%; With food 100%,Dexlansoprazole; esomeprazole; lansoprazole; omeprazole; pantoprazole; rabeprazole,None,Category C,Not recommended,NA,,
Anagrelide (hydrochloride),"Thrombocythemia treatment, Platelet aggregation inhibitor",Purine metabolism,PDE3A,phosphodiesterase inhibitor,,,7.086,pIC50,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,292.553,2.3481,3,1,0,44.7,0,3.09,,,,-0.03,,,,,,5.284,,,,,,,0,-35.48479791,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.580106196,0,0,Inactive,Inactive,0,1.516937603,,,,,,0,-6.237992323,,,,,,,0.5538152396,Oral,,,,,1.5-2.5 h,0.7,Goserelin; histrelin; leuprolide; triptorelin,Hepatic imoairement,Category B3,Use with caution,NA,,
Naloxegol (oxalate),Laxative,Neuroactive ligand-receptor interaction,OPRM1,opioid receptor antagonist,,,,,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OCCOCCOCCOCCOCCOCCOCCOC)CC[C@@]3(O)[C@H]1C5.O=C(O)C(=O)O,741.828,1.0191,14,4,24,201.37,5,14.12,,,,-0.16,,,,,,13.22,,,,,,,0,10.61971908,0,0,Inactive,0,-0.753420405,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.2028322124,0,0,Inactive,Inactive,0,-0.0227112475,,,,,,0,2.32226964,,,,,,,0.5573271669,Oral,,~4.2%,,68% (feces); 16% (urine),6-11 h,,Abametapir; atazanavir; bosentan; carbamazepine; chloramphenicol; clarithromycin; cobicistat; conivaptan; dabrafenib; darunavir; dexamethasone; elvitegravir/cobicistat/emtricitabine/tenofovir DF; enzalutamide; eslicarbazepine acetate; etravirine; fosamprenavir; fosphenytoin; grapefruit; idelalisib; imatinib; indinavir; isoniazid; itraconazole; ketoconazole; lopinavir; mifepristone; mitotane; nafcillin; nefazodone; nelfinavir; nevirapine; nicardipine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; posaconazole; primidone; quinidine; ribociclib; rifabutin; rifampin; rifapentine; ritonavir; saquinavir St John's Wort ;tipranavir,Hypersensitivity; GI obstruction,NA,Not recommended,NA,,
Naratriptan (hydrochloride),"Antimigraine, Vasoconstrictor,","Neuroactive ligand-receptor interaction, Seratonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F",serotonin receptor agonist,,,,Ki,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1.Cl,371.934,2.4906,3,2,5,65.2,0,-4.68,,,,0.16,,,,,,3.72,,,,,,,39.81071706,-43.8071261,39.8107,44.6791,Inconclusive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.01036248,0,0,Inactive,Inactive,0,-3.71195786,,,,,,0,-14.89597196,,,,,,,0.5814939839,Oral,Peak plasma concentrations after 2-5 hours,28%-31%,170L,6.6 mL/min/kg,5-8 h,0.74,Almotriptan; bromocriptine; cabergoline; dihydroergotamine; dihydroergotamine intranasal; eletriptan; ergoloid mesylates; ergotamine; frovatriptan; methylergonovine; rizatriptan; sumatriptan; sumatriptan intranasal; zolmitriptan,Hypersensitivity; hepatic or renal impairment; Ischemic heart disease; uncontrolled hyoertention,Category B3,Not recommended,NA,,
Butenafine (Hydrochloride),Antifungal,Steroid biosynthesis,SQLE,fungal squalene epoxidase inhibitor,,,,,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12.Cl,353.937,6.1911,1,0,4,3.24,0,-2.45,,,,-0.08,,,,0.4285,,5.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5824923974,,,,,,,,None,Hypersensitivity,Category C,Use with caution,NA,,
Cromolyn (sodium),"Antiallergic, Antiasthmatic",NA,,,,,,,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],512.334,-6.5469,11,1,8,179.37,0,1.09,,,,0.02,,,,0.06696,,28.47,,,,,,,0,2.266314145,0,0,Inactive,0,-2.68027481,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.735099977,0,0,Inactive,Inactive,0,-0.6584169693,,,,,,0,-28.75961186,,,,,,,0.5864127986,Oral,,,,,1.3 h,0.01,NA,Hypersensitivity,Category B1,Use with caution,NA,,
Ropinirole (hydrochloride),Antiparkinsonian,"Neuroactive ligand-receptor interaction, Dopaminergic synapse","ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C",dopamine receptor agonist,,,,Ki,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl,296.842,3.2675,2,1,7,32.34,0,0.37,,,,0.2,,,,-0.01531,,-0.3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5921840054,Oral,,40%,7.5 l/KG,47 l/H,6 h,45-55%,None,Hypersensitivity,Category B3,Not recommended,NA,,
Prucalopride (succinate),Prokinetic,"Serotonergic synapse, Neuroactive ligand-receptor interaction",HTR4,serotonin receptor agonist,,,,Ki,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1.O=C(O)CCC(=O)O,485.965,2.0236,7,4,9,151.42,0,,,,,-0.02,,,,,,29.32,,,,,,,0,0.9350888638,,,,0,0,,,,,,,,,,,,,,,,0,14.79270845,,,,,,0,-15.17516307,,,,,,,0.597279342,Oral,3.79ng/ml,30%,623 L,17 L/h,18-20 h,Reaches maximum plasma concentration of 3.79ng/ml with a tmax of 2.77 hours after initial administration,None,Hypersensitivity,Category B1,Not recommended,NA,,
Pitolisant (hydrochloride),Nootropic,Neuroactive ligand-receptor interaction,HRH3,histamine receptor antagonist,,,,Ki,Cl.Clc1ccc(CCCOCCCN2CCCCC2)cc1,332.315,4.587,2,0,8,12.47,0,-7.2,,,,0.19,,,,,,13.59,,,,,,,7.943282347,-93.81849103,31.6228,76.3846,Inconclusive,0,-66.55218849,0,0,Inactive,Inactive,39.81071706,-17.39072091,39.8107,59.6482,Inconclusive,39.81071706,-11.49372957,39.8107,38.4222,Inconclusive,Cytotoxic,14.12537545,30.5982577,,,,,,0,-2.64570426,,,,,,,0.6096710476,Oral,30ng/ml after oral dose of 20mg,91-96%,1100-2825 L,43.9 L/hr,10-12 h,0.9,None,Hyoersensitivity; Hepatic impairement,NA,Use with caution,NA,,
Sertaconazole (nitrate),Antifungal,Steroid biosynthesis,,sterol demethylase inhibitor,,,5.075,pIC50,Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1.O=[N+]([O-])O,500.791,6.6684,6,1,6,90.42,1,88.93,,,,-0.15,,,,-0.4284,,7.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6304774542,,,>99%,,,,,NA,Hypersensitivity,NA,Use with caution,NA,,
Esmolol (hydrochloride),Antiarrhythmic,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes",ADRB1,adrenergic receptor antagonist,,,,,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1.Cl,331.84,1.9517,5,2,9,67.79,1,-0.79,,,,-0.02,,,,0.0536,,1.827,,,,,,,6.309573445,-18.4583765,6.3096,55.6967,Inconclusive,0,-10.99280407,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-40.76514073,0,0,Inactive,Inactive,0,5.11311629,,,,,,0,-14.14222148,,,,No,,,0.6528583758,Intravenous; oral,0.05-0.3mg/kg/mm,55%,,20 L/kg/hr,Distribution half-life: 2 mins; elimination half life: 9 mins,,None,Hypersensitivity; Sinus bradyvadia; Asthma; ,Category C,Not recommended,NA,,
Sodium Picosulfate,Laxative,NA,,,,,,,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1.[Na+].[Na+],481.415,-4.0522,9,0,7,145.75,0,0.17,,,,-0.06,,,,,,2.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6536195655,Oral,Cmax is attained in 7 h,,,,7.4 h,,None,Hypersensitivity; renal impairment; GI obstruction; toxic colitis,NA,NA,NA,,
Valacyclovir (hydrochloride),Antiviral,DNA synthesis/replication,,,,,,,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21.Cl,360.802,-0.3758,9,3,7,151.14,1,-3.85,,,,0.13,,,,0.01019,,-4.848,,,,,,,39.81071706,-53.01135434,39.8107,66.7301,Inconclusive,0,0.2856305278,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.4495417646,,,,,,0,-15.30384158,,,,,,,0.6570835258,Oral; intravenous,,13.5-17.9%,1.34 ± 0.65 L/kg for 15 ml/kg dose,255 ± 86 mL/min,2.5-3.3 h,54.5% ± 9.1%,None,Hypersensitivity,Category B3,Use with caution,NA,,
Clemastine (fumarate),Antiallergic,"Neuroactive ligand-receptor interaction, Calcium signaling pathway",HRH1,histamine receptor antagonist,,,8.5228,pIC50,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O,459.97,4.8162,4,2,8,87.07,2,-10.71,,,,0.18,,,,-0.1711,,27.58,,,,,,,10,-67.46410557,10,86.1768,Active,15.84893192,-85.5251403,0,0,Inactive,Inactive,4.466835922,-111.9028805,4.4668,84.5044,Active,22.38721139,-59.42625503,22.3872,53.6275,Inconclusive,Cytotoxic,11.22018454,67.30973208,10,100.279,Active,,,0,-19.10715596,0,0,Inactive,Inactive,,,0.6765636608,Oral; Intravenous,,,,The mean clearance of bremelanotide is 6.5±1.0L/hr,,,None,Asthma; hypersensitivity; nursing women,Category A,Use with caution,NA,,
